title,price,offer_price,year,distance,engine_type,fuel_type,horse_power,car_type,wheel_type,transmission,color,city,advert,link
Toyota Camry V (XV30),330000,,2002,362000,2.4,Бензин,152,седан,передний,автомат,синий,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098945726-56c1daab/
Toyota Camry V (XV30),300000,,2002,260000,2.4,Бензин,152,седан,передний,механика,бежевый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1089019604-1880985e/
Toyota Camry V (XV30),450000,,2002,320000,2.4,Бензин,152,седан,передний,автомат,зелёный,Рязань,,https://auto.ru/cars/used/sale/toyota/camry/1093741058-42380a3c/
Toyota Camry V (XV30),350000,Хорошая цена,2002,250000,2.4,Бензин,152,седан,передний,механика,серебристый,Обнинск,,https://auto.ru/cars/used/sale/toyota/camry/1094048000-366fdb89/
Toyota Camry V (XV30),410000,Хорошая цена,2003,200000,2.4,Бензин,152,седан,передний,автомат,чёрный,Московский,,https://auto.ru/cars/used/sale/toyota/camry/1098985782-e0da181f/
Toyota Camry V (XV30),450000,Хорошая цена,2003,292500,3.0,Бензин,186,седан,передний,автомат,коричневый,Химки,,https://auto.ru/cars/used/sale/toyota/camry/1097286484-ffdcfa7d/
Toyota Camry V (XV30),319000,,2003,220000,2.4,Бензин,152,седан,передний,механика,серый,Химки,KIA Центр Шереметьево,https://auto.ru/cars/used/sale/toyota/camry/1097661154-e422bb3d/
Toyota Camry V (XV30),395000,,2003,235000,2.4,Бензин,152,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098591178-8507b928/
Toyota Camry V (XV30),430000,Хорошая цена,2003,274000,2.4,Бензин,152,седан,передний,автомат,чёрный,Домодедово,,https://auto.ru/cars/used/sale/toyota/camry/1098792574-b926ce5a/
Toyota Camry V (XV30),354000,,2003,135000,2.4,Бензин,152,седан,передний,механика,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1094606230-92590cac/
Toyota Camry V (XV30),425000,Хорошая цена,2003,185000,2.4,Бензин,159,седан,передний,автомат,зелёный,Щелково,,https://auto.ru/cars/used/sale/toyota/camry/1096592146-b863cc6c/
Toyota Camry V (XV30),450000,Хорошая цена,2003,185000,2.4,Бензин,152,седан,передний,автомат,серебристый,Московский,,https://auto.ru/cars/used/sale/toyota/camry/1093548628-88c03b5d/
Toyota Camry V (XV30),500000,,2003,285000,2.4,Бензин,152,седан,передний,автомат,серый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1096941840-c598ce2a/
Toyota Camry V (XV30),420000,Хорошая цена,2003,224000,2.4,Бензин,152,седан,передний,автомат,синий,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098619534-a6e17842/
Toyota Camry V (XV30),390000,,2003,500000,3.0,Бензин,186,седан,передний,автомат,жёлтый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098963472-bed5bbe0/
Toyota Camry V (XV30),390000,Хорошая цена,2003,250000,2.4,Бензин,152,седан,передний,механика,серебристый,Калуга,,https://auto.ru/cars/used/sale/toyota/camry/1086643762-1b785117/
Toyota Camry V (XV30),435000,Хорошая цена,2003,300000,2.4,Бензин,152,седан,передний,автомат,красный,Химки,,https://auto.ru/cars/used/sale/toyota/camry/1094491756-5d27cc42/
Toyota Camry V (XV30),500000,,2003,263040,2.4,Бензин,159,седан,передний,автомат,золотистый,Рязань,,https://auto.ru/cars/used/sale/toyota/camry/1098634320-ac7dfea5/
Toyota Camry V (XV30),480000,,2003,210000,2.4,Бензин,152,седан,передний,автомат,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1099064004-d3acba93/
Toyota Camry V (XV30),360000,,2003,270500,2.4,Бензин,152,седан,передний,автомат,чёрный,Можайск,,https://auto.ru/cars/used/sale/toyota/camry/1090139542-644ed549/
Toyota Camry V (XV30),440000,,2003,265000,2.4,Бензин,152,седан,передний,автомат,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098321860-a5921742/
Toyota Camry V (XV30),365000,,2003,220902,2.4,Бензин,152,седан,передний,автомат,зелёный,Углич,,https://auto.ru/cars/used/sale/toyota/camry/1098753476-eb3266b9/
Toyota Camry V (XV30),376000,Хорошая цена,2003,220000,2.4,Бензин,152,седан,передний,механика,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1089156064-26ce3eec/
Toyota Camry V (XV30),450000,,2004,262424,2.4,Бензин,152,седан,передний,автомат,серебристый,Москва,СИМ - АвтоМаркет,https://auto.ru/cars/used/sale/toyota/camry/1099165162-3f8c0094/
Toyota Camry V (XV30),410000,,2004,191000,2.4,Бензин,152,седан,передний,механика,серебристый,Рязань,Регион-62 Hyundai Рязань,https://auto.ru/cars/used/sale/toyota/camry/1098276724-ca78e825/
Toyota Camry V (XV30),460000,,2004,150000,2.4,Бензин,152,седан,передний,механика,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1097025568-179070b0/
Toyota Camry V (XV30),450000,Хорошая цена,2004,141324,2.4,Бензин,152,седан,передний,автомат,золотистый,Калуга,,https://auto.ru/cars/used/sale/toyota/camry/1098168170-19850ec5/
Toyota Camry V (XV30),530000,,2004,318000,2.4,Бензин,152,седан,передний,автомат,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1092687564-1102c26e/
Toyota Camry V (XV30),450000,,2004,350000,2.4,Бензин,152,седан,передний,автомат,зелёный,Ступино,,https://auto.ru/cars/used/sale/toyota/camry/1097238636-0ca1673e/
Toyota Camry V (XV30),525000,Хорошая цена,2004,118000,2.4,Бензин,152,седан,передний,автомат,чёрный,Марфино,,https://auto.ru/cars/used/sale/toyota/camry/1098043136-d390bb79/
Toyota Camry V (XV30),440000,Хорошая цена,2004,290000,3.0,Бензин,186,седан,передний,автомат,чёрный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098463122-e75e20ee/
Toyota Camry V (XV30),425000,Хорошая цена,2004,150000,2.4,Бензин,152,седан,передний,автомат,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1098990392-97286cb5/
Toyota Camry V (XV30),500000,Хорошая цена,2004,208000,3.0,Бензин,186,седан,передний,автомат,серый,Подольск,,https://auto.ru/cars/used/sale/toyota/camry/1093969920-3b8628a4/
Toyota Camry V (XV30),530000,,2004,330000,2.4,Бензин,152,седан,передний,автомат,серый,Пушкино,,https://auto.ru/cars/used/sale/toyota/camry/1095815128-577f0221/
Toyota Camry V (XV30),495000,,2004,257800,2.4,Бензин,152,седан,передний,автомат,золотистый,Домодедово,,https://auto.ru/cars/used/sale/toyota/camry/1098947856-ab3c5670/
Toyota Camry V (XV30),500000,,2004,300000,2.4,Бензин,152,седан,передний,автомат,зелёный,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1090843342-7b88ca13/
Toyota Camry V (XV30),405000,,2004,245000,2.4,Бензин,152,седан,передний,механика,серебристый,Москва,,https://auto.ru/cars/used/sale/toyota/camry/1095810120-603a3834/
